Rk,Player,Team,Salary_2019_to_20,Salary_2020_to_21,Salary_2021_to_22,Salary_2022_to_23,Salary_2023_to_24,Salary_2024_to_25,Signed Using,Guaranteed,Salary_Per_Million
359,Jacob Evans,Minnesota Timberwolves,1925880,2017320,3641263,,,,1st Round Pick,3943200,1.92588
360,Anderson Varejão,Portland Trailblazers,1913345,1913345,,,,,,3826690,1.913345
361,Džanan Musa,Brooklyn Nets,1911600,2002800,3615054,,,,1st Round Pick,3914400,1.9116
362,Omari Spellman,Minnesota Timberwolves,1897800,1988280,3588845,,,,1st Round Pick,3886080,1.8978
363,Shabazz Napier,Washington Wizards,1882867,,,,,,Cap Space,1882867,1.882867
364,Glenn Robinson,Philadelphia 76ers,1882867,2071978,,,,,Minimum Salary,1882867,1.882867
365,James Ennis,Orlando Magic,1882867,2071978,,,,,Minimum Salary,1882867,1.882867
366,Tim Frazier,Detroit Pistons,1882867,,,,,,,1882867,1.882867
367,Larry Sanders,Milwaukee Bucks,1865547,1865547,1865547,,,,,5596641,1.865547
368,Bruno Caboclo,Houston Rockets,1845301,,,,,,Minimum Salary,1845301,1.845301
369,Markieff Morris,LA Lakers,1750000,,,,,,DPE,1750000,1.75
370,Mario Hezonja,Portland Trailblazers,1737145,1882867,,,,,Minimum Salary,3620012,1.737145
371,Emmanuel Mudiay,Utah Jazz,1737145,,,,,,Minimum Salary,1737145,1.737145
372,Raul Neto,Philadelphia 76ers,1737145,,,,,,Minimum Salary,1737145,1.737145
373,JaKarr Sampson,Indiana Pacers,1737145,,,,,,Minimum Salary,1737145,1.737145
374,Pat Connaughton,Milwaukee Bucks,1723050,,,,,,MLE,1723050,1.72305
375,Jahlil Okafor,New Orleans Pelicans,1702486,,,,,,Minimum Salary,1702486,1.702486
376,Rodions Kurucs,Brooklyn Nets,1699236,1780152,1861068,,,,Cap space,3479388,1.699236
377,Jonah Bolden,Philadelphia 76ers,1698450,,,,,,,1698450,1.69845
378,Georges Niang,Utah Jazz,1678854,1783557,,,,,Non-Bird Exception,1678854,1.678854
379,Cheick Diallo,Phoenix Suns,1678854,1824003,,,,,Minimum Salary,1678854,1.678854
380,Dragan Bender,Milwaukee Bucks,1678854,,,,,,,1678854,1.678854
381,David Nwaba,Brooklyn Nets,1678854,,,,,,,1678854,1.678854
382,Treveon Graham,Atlanta Hawks,1678854,,,,,,Minimum Salary,1678854,1.678854
383,Willy Hernangómez,Charlotte Hornets,1676735,,,,,,Cap Space,1676735,1.676735
384,Derrick Jones,Miami Heat,1645357,,,,,,Minimum Salary,1645357,1.645357
385,Jordan McRae,Detroit Pistons,1645357,,,,,,Minimum Salary,1645357,1.645357
386,Christian Wood,Detroit Pistons,1645357,,,,,,Minimum Salary,1645357,1.645357
